
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
[525] loss = 1.20827  (1528.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.588 K, n=1.3729e21 m^-3
[526] loss = 1.20809  (1530.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.589 K, n=1.3719e21 m^-3
[527] loss = 1.20793  (1532.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.59 K, n=1.371e21 m^-3
[528] loss = 1.20779  (1535.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.592 K, n=1.37e21 m^-3
[529] loss = 1.20767  (1536.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.592 K, n=1.3691e21 m^-3
[530] loss = 1.20756  (1538.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.593 K, n=1.3682e21 m^-3
[531] loss = 1.20746  (1541.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.594 K, n=1.3673e21 m^-3
[532] loss = 1.20737  (1544.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.595 K, n=1.3665e21 m^-3
[533] loss = 1.20729  (1545.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.596 K, n=1.3656e21 m^-3
[534] loss = 1.20722  (1548.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.596 K, n=1.3648e21 m^-3
[535] loss = 1.20716  (1550.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.597 K, n=1.364e21 m^-3
[536] loss = 1.2071  (1553.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.597 K, n=1.3632e21 m^-3
[537] loss = 1.20705  (1555.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.598 K, n=1.3624e21 m^-3
[538] loss = 1.207  (1558.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.598 K, n=1.3617e21 m^-3
[539] loss = 1.20696  (1559.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.599 K, n=1.3609e21 m^-3
[540] loss = 1.20692  (1562.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.599 K, n=1.3602e21 m^-3
[541] loss = 1.20688  (1565.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.1765973770930717e-5   physical≈6.7909414495746505 W/m^3
PDE[2] gas eq : scaled=1.1487745079987278e-7   physical≈3.987979891665715e19 m^-3/s
BC[1] surface : scaled=1.1774262713215489   physical≈0.14175304427540142 W/m^2
BC[2] ice heat : scaled=0.014717636261771876   physical≈176.5875039995469 W/m^2
BC[3] ice gas : scaled=0.01471802763336638   physical≈1.4274482481679668e22 m^-2/s
Total PDE = 2.188085122173059e-5
Total BC  = 1.206861935216687
Grand Total = 1.2068838160679087
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.6 K, n=1.3594e21 m^-3
[542] loss = 1.20685  (1568.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.6 K, n=1.3587e21 m^-3
[543] loss = 1.20682  (1571.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.6 K, n=1.358e21 m^-3
[544] loss = 1.20683  (1574.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.601 K, n=1.3573e21 m^-3
[545] loss = 1.20675  (1575.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.602 K, n=1.3565e21 m^-3
[546] loss = 1.20672  (1577.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.604 K, n=1.3557e21 m^-3
[547] loss = 1.20669  (1580.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.605 K, n=1.3549e21 m^-3
[548] loss = 1.20666  (1583.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.606 K, n=1.3542e21 m^-3
[549] loss = 1.20663  (1584.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.607 K, n=1.3534e21 m^-3
[550] loss = 1.2066  (1587.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.608 K, n=1.3527e21 m^-3
[551] loss = 1.20659  (1590.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.609 K, n=1.3519e21 m^-3
[552] loss = 1.20656  (1593.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.611 K, n=1.3511e21 m^-3
[553] loss = 1.20654  (1595.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.612 K, n=1.3503e21 m^-3
[554] loss = 1.20652  (1598.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.613 K, n=1.3495e21 m^-3
[555] loss = 1.2065  (1600.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.614 K, n=1.3487e21 m^-3
[556] loss = 1.20648  (1601.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.615 K, n=1.3479e21 m^-3
[557] loss = 1.20647  (1604.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.616 K, n=1.3472e21 m^-3
[558] loss = 1.20645  (1607.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.617 K, n=1.3464e21 m^-3
[559] loss = 1.20644  (1610.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.617 K, n=1.3457e21 m^-3
[560] loss = 1.20642  (1613.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.618 K, n=1.3449e21 m^-3
[561] loss = 1.20641  (1615.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.1756416362767475e-5   physical≈6.789450339498768 W/m^3
PDE[2] gas eq : scaled=1.1805998294509779e-7   physical≈4.04284343552742e19 m^-3/s
BC[1] surface : scaled=1.177015708303172   physical≈0.1417283278097444 W/m^2
BC[2] ice heat : scaled=0.014686288801826495   physical≈176.39934469393 W/m^2
BC[3] ice gas : scaled=0.01468647341370939   physical≈1.4259172623529556e22 m^-2/s
Total PDE = 2.1874476345712574e-5
Total BC  = 1.2063884705187078
Grand Total = 1.2064103449950534
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.618 K, n=1.3442e21 m^-3
[562] loss = 1.2064  (1618.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.619 K, n=1.3435e21 m^-3
[563] loss = 1.20639  (1621.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.62 K, n=1.3427e21 m^-3
[564] loss = 1.20637  (1624.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.62 K, n=1.342e21 m^-3
[565] loss = 1.20636  (1627.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.62 K, n=1.3413e21 m^-3
[566] loss = 1.20635  (1629.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.621 K, n=1.3406e21 m^-3
[567] loss = 1.20634  (1631.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.621 K, n=1.3399e21 m^-3
[568] loss = 1.20633  (1633.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.622 K, n=1.3392e21 m^-3
[569] loss = 1.20632  (1636.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.622 K, n=1.3385e21 m^-3
[570] loss = 1.20631  (1639.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.622 K, n=1.3378e21 m^-3
[571] loss = 1.2063  (1641.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.623 K, n=1.3371e21 m^-3
[572] loss = 1.20629  (1644.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.623 K, n=1.3364e21 m^-3
[573] loss = 1.20629  (1648.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.623 K, n=1.3358e21 m^-3
[574] loss = 1.20628  (1651.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.623 K, n=1.3351e21 m^-3
[575] loss = 1.20627  (1654.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.624 K, n=1.3344e21 m^-3
[576] loss = 1.20626  (1655.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.624 K, n=1.3338e21 m^-3
[577] loss = 1.20625  (1659.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.624 K, n=1.3331e21 m^-3
[578] loss = 1.20624  (1661.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.624 K, n=1.3325e21 m^-3
[579] loss = 1.20623  (1664.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.625 K, n=1.3318e21 m^-3
[580] loss = 1.20623  (1666.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.625 K, n=1.3312e21 m^-3
[581] loss = 1.20622  (1669.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.1725811904578676e-5   physical≈6.784673344750022 W/m^3
PDE[2] gas eq : scaled=4.3965201183324086e-5   physical≈7.801715288549035e20 m^-3/s
BC[1] surface : scaled=1.176834631288332   physical≈0.1417174253513204 W/m^2
BC[2] ice heat : scaled=0.014680360864681531   physical≈176.36374040401995 W/m^2
BC[3] ice gas : scaled=0.014680490609108742   physical≈1.4256267959793309e22 m^-2/s
Total PDE = 6.569101308790277e-5
Total BC  = 1.2061954827621222
Grand Total = 1.20626117377521
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.625 K, n=1.3305e21 m^-3
[582] loss = 1.20621  (1672.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.625 K, n=1.3299e21 m^-3
[583] loss = 1.2062  (1674.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.625 K, n=1.3292e21 m^-3
[584] loss = 1.20619  (1678.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.626 K, n=1.3286e21 m^-3
[585] loss = 1.20618  (1680.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.626 K, n=1.3279e21 m^-3
[586] loss = 1.20618  (1683.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.626 K, n=1.3273e21 m^-3
[587] loss = 1.20617  (1685.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.626 K, n=1.3266e21 m^-3
[588] loss = 1.20616  (1686.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.626 K, n=1.326e21 m^-3
[589] loss = 1.20615  (1688.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.3253e21 m^-3
[590] loss = 1.20615  (1690.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.3247e21 m^-3
[591] loss = 1.20614  (1693.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.324e21 m^-3
[592] loss = 1.20613  (1695.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.3234e21 m^-3
[593] loss = 1.20612  (1697.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.3227e21 m^-3
[594] loss = 1.20611  (1699.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.627 K, n=1.3221e21 m^-3
[595] loss = 1.20611  (1700.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3215e21 m^-3
[596] loss = 1.2061  (1702.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3208e21 m^-3
[597] loss = 1.20609  (1704.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3202e21 m^-3
[598] loss = 1.20608  (1706.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3196e21 m^-3
[599] loss = 1.20607  (1708.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3189e21 m^-3
[600] loss = 1.20607  (1710.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3183e21 m^-3
checkpoint saved at iteration 600 -> checkpoints\checkpoint_100au_iter600.jls
[601] loss = 1.20607  (1712.4s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.1617607894927477e-5   physical≈6.767756940956967 W/m^3
PDE[2] gas eq : scaled=0.0002446994839209912   physical≈1.8405689515411185e21 m^-3/s
BC[1] surface : scaled=1.176685589413311   physical≈0.1417084510659666 W/m^2
BC[2] ice heat : scaled=0.014679751778794294   physical≈176.360081714001 W/m^2
BC[3] ice gas : scaled=0.014679875295803524   physical≈1.425596919037506e22 m^-2/s
Total PDE = 0.00026631709181591866
Total BC  = 1.2060452164879087
Grand Total = 1.2063115335797248
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3183e21 m^-3
[602] loss = 1.20607  (1718.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.628 K, n=1.3183e21 m^-3
[603] loss = 1.19915  (1721.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=14.938 K, n=1.3084e21 m^-3
[604] loss = 1.16947  (1722.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=17.609 K, n=1.2153e21 m^-3
[605] loss = 1.13813  (1723.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=20.833 K, n=1.0956e21 m^-3
[606] loss = 1.10806  (1728.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=26.35 K, n=9.2858e20 m^-3
[607] loss = 1.08857  (1730.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=25.767 K, n=9.6733e20 m^-3
[608] loss = 1.08702  (1731.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=25.602 K, n=9.7353e20 m^-3
[609] loss = 1.08621  (1732.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=25.125 K, n=9.8728e20 m^-3
[610] loss = 1.08512  (1743.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.623 K, n=1.0038e21 m^-3
[611] loss = 1.08471  (1749.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.023 K, n=1.0252e21 m^-3
[612] loss = 1.08176  (1751.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.833 K, n=1.0422e21 m^-3
[613] loss = 1.08078  (1758.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.139 K, n=1.0374e21 m^-3
[614] loss = 1.08051  (1759.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.633 K, n=1.0291e21 m^-3
[615] loss = 1.07903  (1760.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.534 K, n=1.0422e21 m^-3
[616] loss = 1.07465  (1761.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=24.012 K, n=1.0755e21 m^-3
[617] loss = 1.07254  (1763.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.989 K, n=1.0812e21 m^-3
[618] loss = 1.07222  (1764.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.957 K, n=1.0812e21 m^-3
